Title,Congress,House,Sponsor,SponsorParty,LatestAction,LatestActionMonth,LatestActionDay,LatestActionYear,URL
"An Act to provide appropriate lapel buttons for widows, parents, and next of kin of members of the Armed Forces who lost or lose their lives in the armed services of the United States during World War II or during any subsequent war or period of armed hostilities in which the United States may be engaged",82,House,NA,NA,Became Public Law No. 82-121,8,21,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg195.pdf
"An Act for the Relief of Franz Furtner, his wife, Valentina Furtner, and her daughters, Nina Tuerck and Victoria Tuerck",82,House,NA,NA,Became Private Law No. 82-215,8,17,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA82-2.pdf
"An Act to protect the Girl Scouts of the United States of America in the use of emblems and badges, descriptive or designating marks, and words or phrases heretofore adopted and to clarify existing law relating thereto",82,House,NA,NA,Became Public Law No. 82-117,8,17,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg192.pdf
An Act to provide that children be committed to the Board of Public Welfare in lieu of being committed to the National Training School for Girls; that the property and personnel of the National Training School for Girls be available for the care of children committed to or accepted by the Board of Public Welfare; and for other purposes,82,Senate,NA,NA,Became Public Law No. 82-105,8,3,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg154.pdf
"An Act to amend section 2 of the act entitled """"An Act to incorporate the National Society of the Daughters of the American Revolution.""""",82,House,NA,NA,Became Public Law No. 82-93,7,30,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg130.pdf
An Act to authorize the printing of the annual reports of the Girl Scouts of the United States of America as separate House documents,82,House,NA,NA,Became Public Law No. 82-18,4,16,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg31.pdf
"An Act for the Relief of Geraldine L. Smith, mother and natural guardian of Thomas Clayton Smith, a minor",82,House,NA,NA,Became Private Law No. 82-7,3,24,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA5.pdf
An Act to provide survivor benefits for widows of the Chief Justice and the Associate Justices of the Supreme Court of the United States.,83,Senate,NA,NA,Became Public Law No. 83-702,8,28,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg918.pdf
"An Act to amend the Merchant Marine Act, 1936, to provide permanent legislation for the transportation of a substantial portion of waterborne cargoes in United States flag vessels",83,Senate,NA,NA,Became Public Law No. 83-664,8,26,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg832.pdf
An Act to provide benefits under the laws administered by the Veterans Administration based upon service in the Womens Army Auxiliary Corps under certain conditions,83,House,NA,NA,Became Public Law No. 83-650,8,24,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg789.pdf
"An Act for the Relief of Sisters Linda Salerno, Luigiana C. Cairo, Antonietta Impieri, Anna Impieri, Rosina Scarlato, Iolando Gaglianone, Maria Assunta Scaramuzzo, Francescaina Conterucci and Filomena Lupinacci.",83,House,NA,NA,Became Private Law No. 83-743,8,23,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-PgA187.pdf
Joint resolution to establish a commission for the celebration of the two hundredth anniversary of the birth of Alexander Hamilton,83,Senate,NA,NA,Became Public Law No. 83-601,8,20,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg746.pdf
An Act for the Relief of Frantisek Vyborny.,83,Senate,NA,NA,Became Private Law No. 83-647,8,13,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-PgA157.pdf
An Act for the Relief of Sisters Adelaide Canelas and Maria Isabel Franco.,83,House,NA,NA,Became Private Law No. 83-300,3,15,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-PgA27.pdf
"An Act to amend the charter of the Girl Scouts of the United States of America so as to limit membership on the National Council of Girl Scouts to citizens of the United States, to authorize meetings of the national council as provided in the constitution, and to authorize an annual report based upon the preceding fiscal year.",83,House,NA,NA,Became Public Law No. 83-272,8,14,1953,https://www.congress.gov/83/statute/STATUTE-67/STATUTE-67-Pg582.pdf
An Act for the Relief of Certain Members of the Missionary Sisters of the Sacred Heart.,83,House,NA,NA,Became Private Law No. 83-118,7,29,1953,https://www.congress.gov/83/statute/STATUTE-67/STATUTE-67-PgA42.pdf
"An Act to amend the act of February 24, 1925, incorporating the American War Mothers",83,House,NA,NA,Became Public Law No. 83-79,6,26,1953,https://www.congress.gov/83/statute/STATUTE-67/STATUTE-67-Pg81-2.pdf
An Act for the Relief of Mother Anna DiGiorgi.,83,House,NA,NA,Became Private Law No. 83-63,6,18,1953,https://www.congress.gov/83/statute/STATUTE-67/STATUTE-67-PgA24.pdf
"Joint resolution to amend the Act of August 20, 1954, establishing a commission for the celebration of the two hundredth anniversary of the birth of Alexander Hamilton",84,House,NA,NA,Became Public Law No. 84-1002,8,6,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg1067.pdf
"An Act to amend the joint resolution entitled """"Joint resolution to establish a commission for the celebration of the 100th anniversary of the birth of Theodore Roosevelt """" approved July 28, 1955",84,Senate,NA,NA,Became Public Law No. 84-980,8,6,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg1035.pdf
"An Act to amend title 28, United States Code, to provide for the payment of annuities to widows and dependent children of judges.",84,House,NA,NA,Became Public Law No. 84-973,8,3,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg1021.pdf
"An Act to amend title II of the Social Security Act to provide disability insurance benefits for certain disabled individuals who have attained age 50, to reduce to age 62 the age on the basis of which benefits are payable to certain women, to provide for continue",84,House,NA,NA,Became Public Law No. 84-880,8,1,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg807.pdf
"An Act to authorize female Reserve officers of the Army or Air Force appointed as nurses or women medical specialists to be members of the Army National Guard of the United States or Air National Guard of the United States, as appropriate",84,House,NA,NA,Became Public Law No. 84-845,7,30,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg729.pdf
An Act to provide for the striking of medals in commemoration of the 100th anniversary of the birth of the late Justice Louis Dembitz Brandeis.,84,House,NA,NA,Became Public Law No. 84-727,7,18,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg566.pdf
An Act to provide for the delayed reporting of births within the District of Columbia.,84,House,NA,NA,Became Public Law No. 84-649,7,2,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg487.pdf
"An Act to Exempt from Taxation Certain Property of the General Federation of Womens Clubs, Incorporated, in the District of Columbia.",84,House,NA,NA,Became Private Law No. 84-737,7,2,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-PgA108.pdf
"An Act to amend title II of the Womens Armed Services Integration Act of 1948, by providing flexibility in the distribution of women officers in the grades of commander and lieutenant commander, and for other purposes.",84,House,NA,NA,Became Public Law No. 84-585,6,15,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg285.pdf
Joint resolution to authorize and request the President to issue a proclamation in connection with the centennial of the birth of Woodrow Wilson,84,House,NA,NA,Became Public Law No. 84-493,4,27,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg118.pdf
"An Act to amend the copyright law to permit, in certain classes of works, the deposit of photographs or other identifying reproductions in lieu of copies of published works",84,House,NA,NA,Became Public Law No. 84-452,3,29,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg63.pdf
"An Act to amend the act entitled """"An Act to incorporate the Roosevelt Memorial Association,"""" approved May 31, 1920, as heretofore amended, so as to permit such corporation to consolidate with Womens Theodore Roosevelt Memorial Association, Inc",84,House,NA,NA,Became Public Law No. 84-445,3,29,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg60.pdf
An Act to amend the Public Health Service Act to authorize grants to States for the purpose of assisting States to provide children and expectant mothers an opportunity for vaccination against poliomyelitis,84,Senate,NA,NA,Became Public Law No. 84-377,8,12,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg704.pdf
"An Act to amend the joint resolution entitled """"Joint resolution to establish a commission for the celebration of the 200th anniversary of the birth of Alexander Hamilton,"""" approved August 20, 1954.",84,Senate,NA,NA,Became Public Law No. 84-358,8,11,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg681.pdf
"An Act to authorize the issuance of commemorative medals to certain societies of which Benjamin Franklin was a member, founder, or sponsor in observance of the 250th anniversary of his birth.",84,Senate,NA,NA,Became Public Law No. 84-259,8,9,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg541.pdf
"An Act to authorize the Secretary of Defense to lend certain Army, Navy, and Air Force equipment, and to provide certain services to the Girl Scouts of the United States of America for use at the Girl Scout Senior Roundup Encampment, and for other purposes.",84,House,NA,NA,Became Public Law No. 84-236,8,4,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg496.pdf
"An Act to further amend section 106 of the Army-Navy Nurses Act of 1947 so as to provide for certain adjustments in the dates of rank of nurses and women medical specialists of the Regular Army and Regular Air Force in the permanent grade of captain, and for other purposes",84,House,NA,NA,Became Public Law No. 84-229,8,4,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg492-2.pdf
"An Act for the Relief of Mother Amata (Maria Cartiglia), Sister Octtavia (Concetta Zisa), Sister Giovina (Rosina Vitale), and Sister Olga (Calogera Zeffiro).",84,House,NA,NA,Became Private Law No. 84-289,8,3,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-PgA100.pdf
Joint resolution to establish a commission for the celebration of the one-hundredth anniversary of the birth of Theodore Roosevelt,84,House,NA,NA,Became Public Law No. 84-183,7,28,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg383.pdf
"An Act to require the Commissioner of Education to encourage, foster, and assist in the establishment of clubs for boys and girls especially interested in science",85,House,NA,NA,Became Public Law No. 85-875,9,2,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg1700.pdf
"An Act to amend title II of the Social Security Act to provide that a widow or former wife divorced who loses mothers insurance benefits by remarriage may again become entitled if her husband dies within 1 year of such remarriage, to provide that interstate instrumentalities may secure coverage for policemen and firemen in positions under a retirement system of the instrumentality.",85,House,NA,NA,Became Public Law No. 85-798,8,28,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg964.pdf
"An Act to increase benefits under the Federal old-age, survivors, and disability insurance system, to improve the actuarial status of the trust funds of such system, and otherwise improve such system; to amend the public assistance and maternal and child health",85,House,NA,NA,Became Public Law No. 85-840,8,28,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg1013.pdf
Joint resolution providing for a joint session of Congress for commemorating the one hundred and fiftieth anniversary of the birth of Abraham Lincoln,85,House,NA,NA,Became Public Law No. 85-775,8,27,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg932.pdf
An Act to extend certain veterans benefits to or on behalf of dependent husbands and widowers of female veterans.,85,House,NA,NA,Became Public Law No. 85-655,8,14,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg611-2.pdf
An Act for the Relief of Arthur L. Bornstein.,85,House,NA,NA,Became Private Law No. 85-545,8,8,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-PgA87.pdf
"An Act to Exempt from Taxation Certain Property of the National Association of Colored Womens Clubs, Incorporated, in the District of Columbia.",85,Senate,NA,NA,Became Private Law No. 85-496,7,25,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-PgA68-2.pdf
"An Act to authorize the Secretary of Defense to lend certain Army, Navy, and Air Force equipment, and to provide certain services to the Girl Scouts of the United States of America, and to permit use of certain lands of the Air Force Academy for use at the Girl Scout Senior Roundup Encampment, and for other purposes",85,Senate,NA,NA,Became Public Law No. 85-543,7,18,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg399-2.pdf
"An Act to increase the monthly rates of pension payable to widows and former widows of deceased veterans of the Spanish-American War, Civil War, Indian War, and Mexican War, and provide pensions to widows of veterans who served in the military or naval forces of the Confederate States of America during the Civil War",85,House,NA,NA,Became Public Law No. 85-425,5,23,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg133-2.pdf
Joint resolution Authorizing the One Hundred and First Airborne Division Association to erect a memorial in the District of Columbia,85,House,NA,NA,Became Public Law No. 85-403,5,16,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg112.pdf
"An Act to Exempt from Taxation Certain Property of the National Council of Negro Women, Incorporated, in the District of Columbia.",85,Senate,NA,NA,Became Private Law No. 85-388,4,23,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-PgA24.pdf
"An Act to amend the act entitled """"An Act relating to children born out of wedlock,"""" approved January 11, 1951.",85,Senate,NA,NA,Became Public Law No. 85-382,4,23,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg97.pdf
"Joint resolution to amend the Act of August 20, 1954, establishing a commission for the celebration of the two hundredth anniversary of the birth of Alexander Hamilton.",85,House,NA,NA,Became Public Law No. 85-353,3,28,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg60.pdf
An Act to increase from $50 to $75 per month the amount of benefits payable to widows of certain former employees of the Lighthouse Service.,85,Senate,NA,NA,Became Public Law No. 85-351,3,28,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg49-2.pdf
An Act to amend the Internal Revenue Code of 1954 to prevent unjust enrichment by precluding refunds of alcohol and tobacco taxes to persons who have not borne the ultimate burden of the tax,85,House,NA,NA,Became Public Law No. 85-323,2,11,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg8.pdf
Joint resolution authorize and request the President to issue a proclamation in connection with the centennial of the birth of Theodore Roosevelt,85,Senate,NA,NA,Became Public Law No. 85-297,9,4,1957,https://www.congress.gov/85/statute/STATUTE-71/STATUTE-71-Pg617-3.pdf
"An Act to provide for the relief of certain female members of the Air Force, and for other purposes.",85,House,NA,NA,Became Public Law No. 85-272,9,2,1957,https://www.congress.gov/85/statute/STATUTE-71/STATUTE-71-Pg597.pdf
An Act to liberalize certain criteria for determining eligibility of widows for benefits.,85,House,NA,NA,Became Public Law No. 85-209,8,28,1957,https://www.congress.gov/85/statute/STATUTE-71/STATUTE-71-Pg485.pdf
"An Act to extend and improve coverage under the Federal old-age, survivors, and disability insurance system and to remove hardships and inequities, improve the financing of the trust funds, and provide disability benefits to additional individuals under such system; to provide grants to States for medical care for aged individuals of low income; to amend the public assistance and maternal and child welfare provisions of the Social Security Act; to improve the unemployment compensation provisions of such Act; and for other purposes",86,House,NA,NA,Became Public Law No. 86-778,9,13,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg924.pdf
"An Act to exempt from taxation certain property of the American Association of University Women, Educational Foundation, Incorporated, in the District of Columbia.",86,Senate,NA,NA,Became Public Law No. 86-709,9,6,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg807.pdf
"An Act to exempt from taxation certain property of the National Womans Party, Inc., in the District of Columbia.",86,Senate,NA,NA,Became Public Law No. 86-706,9,6,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg791.pdf
"Joint resolution to authorize and request the President to issue a proclamation in connection with the centennial of the birth of Jane Addams, founder and leader of Chicago's Hull House",86,House,NA,NA,Became Public Law No. 86-698,9,2,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg742.pdf
"An Act for the incorporation of the Blue Star Mothers of America, Inc.",86,Senate,NA,NA,Became Public Law No. 86-653,7,14,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg515.pdf
An Act to authorize the National Society Daughters of the American Colonists to use certain real property in the District of Columbia as the national headquarters of that society,86,House,NA,NA,Became Public Law No. 86-675,7,14,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg554.pdf
"An Act to Extend the Term of Design Patent Numbered 21,053, dated September 22, 1891, for a Badge, Granted to George Brown Goode, and Assigned to the National Society, Daughters of the American Revolution.",86,Senate,NA,NA,Became Private Law No. 86-412,7,12,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-PgA70.pdf
"An Act to amend the act entitled """"An Act to provide for the better registration of births in the District of Columbia, and for other purposes""""",86,Senate,NA,NA,Became Public Law No. 86-524,6,27,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg221.pdf
Joint resolution to authorize and request the President to issue a proclamation in connection with the centennial of the birth of General of the Armies John J. Pershing,86,House,NA,NA,Became Public Law No. 86-483,6,1,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg153.pdf
"An Act to change the name of the Abraham Lincoln National Historical Park at Hodgenville, Ky., to Abraham Lincoln Birthplace National Historic Site.",86,Senate,NA,NA,Became Public Law No. 86-231,9,8,1959,https://www.congress.gov/86/statute/STATUTE-73/STATUTE-73-Pg466.pdf
"An Act to modify the pension programs for veterans of World War I, World II, and the Korean conflict, and their widows and children",86,House,NA,NA,Became Public Law No. 86-211,8,29,1959,https://www.congress.gov/86/statute/STATUTE-73/STATUTE-73-Pg432-2.pdf
"An Act to amend title 10, United States Code, with respect to creating certain service as a member of the Womans Army Auxiliary Corps, and for other purposes",86,House,NA,NA,Became Public Law No. 86-142,8,7,1959,https://www.congress.gov/86/statute/STATUTE-73/STATUTE-73-Pg289.pdf
An Act to provide for payment of annuities to widows and dependent children of Comptrollers General,86,House,NA,NA,Became Public Law No. 86-87,7,13,1959,https://www.congress.gov/86/statute/STATUTE-73/STATUTE-73-Pg197.pdf
An Act for the incorporation of the Ladies of the Grand Army of the Republic.,86,Senate,NA,NA,Became Public Law No. 86-47,6,17,1959,https://www.congress.gov/86/statute/STATUTE-73/STATUTE-73-Pg76.pdf
"An Act to supplement and modify the act of May 24, 1828 (6 Stat. 383, ch. CXII), insofar as it relates to the corporate powers of the Sisters of the Visitation of Georgetown in the District of Columbia",86,House,NA,NA,Became Public Law No. 86-32,5,26,1959,https://www.congress.gov/86/statute/STATUTE-73/STATUTE-73-Pg61.pdf
"An Act to amend title 38, United States Code, to provide for the restoration of certain widows and children to the rolls upon annulment of their marriages or remarriages, and for other purposes",87,House,NA,NA,Became Public Law No. 87-674,9,19,1962,https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg558.pdf
"An Act to provide for the incorporation of the National Woman's Relief Corps, Auxiliary to the Grand Army of the Republic, organized 1883, seventy-eight years old",87,Senate,NA,NA,Became Public Law No. 87-650,9,7,1962,https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg502.pdf
"An Act to extend benefits of the Policemen and Firemen's Retirement and Disability Act Amendments of 1957 to widows and surviving children of former members of the Metropolitan Police force, the Fire Department of the District of Columbia, the United States Park Police force, the White Hbuse Police force, or the United States Secret Service Division, who were retired or who died in the service of any such organization prior to the effective date of such amendments",87,Senate,NA,NA,Became Public Law No. 87-601,8,24,1962,https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg402.pdf
"An Act to authorize establishment of the Theodore Roosevelt Birthplace and Sagamore HUI National Historic Sites, N.Y., and for other purposes",87,House,NA,NA,Became Public Law No. 87-547,7,25,1962,https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg217.pdf
"An Act to grant constructive service to members of the Coast Guard Womens Reserve for the period of July 25, 1947, to November 1, 1949",87,House,NA,NA,Became Public Law No. 87-482,6,12,1962,https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg95-2.pdf
"An Act to amend the Internal Revenue Code of 1954 and incorporate therein provisions for the payment of annuities to widows and certain dependents of the judges of the Tax Court of the United States, and for other purposes",87,House,NA,NA,Became Public Law No. 87-370,10,4,1961,https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg796.pdf
"An Act to amend section 1732(b) of title 28, United States Code, to permit the photographic reproduction of business records held in a custodial or fiduciary capacity and the introduction of the same in evidence",87,House,NA,NA,Became Public Law No. 87-183,8,30,1961,https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg413.pdf
"An Act to authorize the Secretary of Defense to lend certain Army, Navy, and Air Force equipment and provide certain services to the Girl Scouts of the United States of America for use at the 1962 Girl Scouts senior roundup encampment, and for other purposes",87,House,NA,NA,Became Public Law No. 87-149,8,17,1961,https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg387.pdf
"An Act to improve benefits under the old-age, survivors, and disability insurance program by increasing the minimum benefits and aged widows benefits and by making additional persons eligible for benefits under the program, and for other purposes",87,House,NA,NA,Became Public Law No. 87-64,6,30,1961,https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg131.pdf
"An Act to amend title 38, United States Code, so as to revise the pension program for veterans of World War I, World War II, and the Korean conflict, and their widows and children, and for other purposes",88,House,NA,NA,Became Public Law No. 88-664,10,13,1964,https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg1094.pdf
"An Act to authorize the Secretary of Defense to lend certain Army, Navy, and Air Force equipment and provide certain services to the Girl Scouts of the United States of America for use at the 1965 International Senior Girl Scouts roundup encampment, and for other purposes",88,House,NA,NA,Became Public Law No. 88-432,8,14,1964,https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg440.pdf
"Joint resolution for the commemoration of the Honorable Herbert Hoover's ninetieth birthday, August 10,1964",88,Senate,NA,NA,Became Public Law No. 88-403,8,4,1964,https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg381.pdf
"An Act to amend section 503 of the Federal Property and Administrative Services Act of 1949, as amended, to authorize grants for the collection, reproduction, and publication of documentary source material significant to the history of the United States, and for",88,House,NA,NA,Became Public Law No. 88-383,7,28,1964,https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg335-2.pdf
An Act to amend section 712 of title 38 of the United States Code to provide for waiver of premiums for certain veterans holding national service life insurance policies who became or have become totally disabled before their 65th birthday,88,House,NA,NA,Became Public Law No. 88-364,7,7,1964,https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg302.pdf
An Act for the Relief of Maria Mereghetti (Mother Benedetta) and Annunziata Colombo (Mother Cherubina).,88,House,NA,NA,Became Private Law No. 88-150,12,23,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg927-3.pdf
An Act granting an extension of patent to the United Daughters of the Confederacy,88,House,NA,NA,Became Public Law No. 88-213,12,18,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg421-2.pdf
An Act to provide for the striking of medals in commemoration of the 50th anniversary of the founding of the first union health center in the United States by the International Ladies Garment Workers Union,88,House,NA,NA,Became Public Law No. 88-185,11,20,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg340.pdf
"An Act to amend the Social Security Act to assist States and communities in preventing and combating mental retardation through expansion and improvement of the maternal and child health and crippled children's programs, through provision of prenatal, maternity, and infant care for individuals with conditions associated with childbearing which may lead to mental retardation, and through planning for comprehensive action to combat mental retardation, and for other purposes.",88,House,NA,NA,Became Public Law No. 88-156,10,24,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg273.pdf
An Act to furnish to the Padre Junipero Serra 250th Anniversary Association medals in commemoration of this 250th anniversary of his birth.,88,Senate,NA,NA,Became Public Law No. 88-143,10,16,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg251.pdf
"An Act to amend section 411(a) of title 38, United States Code, to increase the rates of dependency and indemnity compensation payable to widows of veterans dying from service-connected disabilities",88,House,NA,NA,Became Public Law No. 88-134,10,5,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg223-2.pdf
An Act for the Relief of the Middlesex Concrete Products and Excavating Corporation.,88,Senate,NA,NA,Became Private Law No. 88-34,8,19,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg885.pdf
An Act for the Relief of Melborn Keat.,88,House,NA,NA,Became Private Law No. 88-7,6,21,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg876.pdf
An Act to prohibit discrimination on account of sex in the payment of wages by employers engaged in commerce or in the production of goods for commerce and to provide for the restitution of wages lost by employees by reason of any such discrimination.,88,Senate,NA,NA,Became Public Law No. 88-38,6,10,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg56.pdf
An Act authorizing the Association of Universalist Women (a nonprofit corporation in the District of Columbia) to consolidate with the Alliance of Unitarian Women (a nonprofit corporation in the State of Massachusetts).,88,Senate,NA,NA,Became Public Law No. 88-19,5,15,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg15-2.pdf
