title,Congress,House,Sponsor,Sponsor.Party,LatestAction,LatestActionMonth,LatestActionDay,LatestActionYear,URL,term
"An Act to amend title 38, United States Code, to provide for the restoration of certain widows and children to the rolls upon annulment of their marriages or remarriages, and for other purposes",87,House,NA,NA,Became Public Law No. 87-674,9,19,1962,https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg558.pdf,widows
"An Act to extend benefits of the Policemen and Firemen's Retirement and Disability Act Amendments of 1957 to widows and surviving children of former members of the Metropolitan Police force, the Fire Department of the District of Columbia, the United States Park Police force, the White Hbuse Police force, or the United States Secret Service Division, who were retired or who died in the service of any such organization prior to the effective date of such amendments",87,Senate,NA,NA,Became Public Law No. 87-601,8,24,1962,https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg402.pdf,widows
"An Act to amend the Internal Revenue Code of 1954 and incorporate therein provisions for the payment of annuities to widows and certain dependents of the judges of the Tax Court of the United States, and for other purposes",87,House,NA,NA,Became Public Law No. 87-370,10,4,1961,https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg796.pdf,widows
"An Act to amend section 1732(b) of title 28, United States Code, to permit the photographic reproduction of business records held in a custodial or fiduciary capacity and the introduction of the same in evidence",87,House,NA,NA,Became Public Law No. 87-183,8,30,1961,https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg413.pdf,reproduction
"An Act to improve benefits under the old-age, survivors, and disability insurance program by increasing the minimum benefits and aged widows benefits and by making additional persons eligible for benefits under the program, and for other purposes",87,House,NA,NA,Became Public Law No. 87-64,6,30,1961,https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg131.pdf,widows
"An Act to amend title 38, United States Code, so as to revise the pension program for veterans of World War I, World War II, and the Korean conflict, and their widows and children, and for other purposes",88,House,NA,NA,Became Public Law No. 88-664,10,13,1964,https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg1094.pdf,widows
"Joint resolution for the commemoration of the Honorable Herbert Hoover's ninetieth birthday, August 10,1964",88,Senate,NA,NA,Became Public Law No. 88-403,8,4,1964,https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg381.pdf,birth
"An Act to amend section 503 of the Federal Property and Administrative Services Act of 1949, as amended, to authorize grants for the collection, reproduction, and publication of documentary source material significant to the history of the United States, and for",88,House,NA,NA,Became Public Law No. 88-383,7,28,1964,https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg335-2.pdf,reproduction
An Act to amend section 712 of title 38 of the United States Code to provide for waiver of premiums for certain veterans holding national service life insurance policies who became or have become totally disabled before their 65th birthday,88,House,NA,NA,Became Public Law No. 88-364,7,7,1964,https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg302.pdf,birth
"An Act to amend the Social Security Act to assist States and communities in preventing and combating mental retardation through expansion and improvement of the maternal and child health and crippled children's programs, through provision of prenatal, maternity, and infant care for individuals with conditions associated with childbearing which may lead to mental retardation, and through planning for comprehensive action to combat mental retardation, and for other purposes.",88,House,NA,NA,Became Public Law No. 88-156,10,24,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg273.pdf,maternal
An Act to furnish to the Padre Junipero Serra 250th Anniversary Association medals in commemoration of this 250th anniversary of his birth.,88,Senate,NA,NA,Became Public Law No. 88-143,10,16,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg251.pdf,birth
"An Act to amend section 411(a) of title 38, United States Code, to increase the rates of dependency and indemnity compensation payable to widows of veterans dying from service-connected disabilities",88,House,NA,NA,Became Public Law No. 88-134,10,5,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg223-2.pdf,widows
An Act for the Relief of the Middlesex Concrete Products and Excavating Corporation.,88,Senate,NA,NA,Became Private Law No. 88-34,8,19,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg885.pdf,sex
An Act for the Relief of Melborn Keat.,88,House,NA,NA,Became Private Law No. 88-7,6,21,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg876.pdf,born
An Act to prohibit discrimination on account of sex in the payment of wages by employers engaged in commerce or in the production of goods for commerce and to provide for the restitution of wages lost by employees by reason of any such discrimination.,88,Senate,NA,NA,Became Public Law No. 88-38,6,10,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg56.pdf,sex
An Act to amend the Internal Revenue Code of 1954 to provide that the deduction for child care expenses shall be available to a wife who has been deserted by and cannot locate her husband on the same basis as a single woman,88,House,NA,NA,Became Public Law No. 88-4,4,2,1963,https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg4-2.pdf,woman
"An Act to grant increased benefits to persons receiving cash relief under the Panama Canal Cash Relief Act of July 8, 1937, and to extend cash relief benefits to widows of recipients",89,House,NA,NA,Became Public Law No. 89-712,11,2,1966,https://www.congress.gov/89/statute/STATUTE-80/STATUTE-80-Pg1106.pdf,widows
An Act to repeal section 165 of the Revised Statutes relating to the appointment of women to clerkships in the executive departments,89,House,NA,NA,Became Public Law No. 89-261,10,19,1965,https://www.congress.gov/89/statute/STATUTE-79/STATUTE-79-Pg987.pdf,women
"An Act to provide continuing authority for the protection of former Presidents and their wives or widows, and for other purposes",89,Senate,NA,NA,Became Public Law No. 89-186,9,15,1965,https://www.congress.gov/89/statute/STATUTE-79/STATUTE-79-Pg791.pdf,widows
"An Act to provide continuing authority for the protection of former Presidents and their wives or widows, and for other purposes",89,Senate,NA,NA,Became Public Law No. 89-186,9,15,1965,https://www.congress.gov/89/statute/STATUTE-79/STATUTE-79-Pg791.pdf,wives
An Act to provide a realistic cost-of-living increase in rates of subsistence allowances paid to disabled veterans pursuing: vocational rehabilitation training and to the sons and daughters of deceased or permanently and totally disabled veterans pursuing a program of education under the war orphans educational assistance program,89,House,NA,NA,Became Public Law No. 89-137,8,26,1965,https://www.congress.gov/89/statute/STATUTE-79/STATUTE-79-Pg576.pdf,daughters
Joint resolution authorizing the President to proclaim the occasion of the bicentennial celebration of the birth of James Smithson,89,Senate,NA,NA,Became Public Law No. 89-124,8,13,1965,https://www.congress.gov/89/statute/STATUTE-79/STATUTE-79-Pg518.pdf,birth
"An Act to amend title 38 of the United States Code with respect to compensation and educational assistance for widows of veterans to make certain widows and children eligible for care in Veterans Administration hospitals, and to change the limitation of the periods of educational assistance available under part III of such title",90,House,NA,NA,Became Public Law No. 90-631,10,23,1968,https://www.congress.gov/90/statute/STATUTE-82/STATUTE-82-Pg1331.pdf,widows
"An Act to amend title 5, United States Code, to provide time off from duty without loss of pay or reduction in leave for employees of executive agencies to attend and make necessary arrangements in connection with the funerals of their sons or daughters in the U.S. Armed Forces overseas who died in or as a result of armed conflict with w hostile foreign force or forces, and for other purposes",90,House,NA,NA,Became Public Law No. 90-588,10,17,1968,https://www.congress.gov/90/statute/STATUTE-82/STATUTE-82-Pg1151.pdf,daughters
"An Act to permit black and white or color reproductions of U.S. and foreign postage stamps under certain circumstances, and for other purposes",90,House,NA,NA,Became Public Law No. 90-353,6,20,1968,https://www.congress.gov/90/statute/STATUTE-82/STATUTE-82-Pg240.pdf,reproduction
"An Act to amend the act of August 19, 1950, to provide annuity benefits for an addition number of widows of employees of the Lighthouse Service",90,House,NA,NA,Became Public Law No. 90-167,11,29,1967,https://www.congress.gov/90/statute/STATUTE-81/STATUTE-81-Pg520.pdf,widows
"An Act to amend titles 10, 32, and 37, United States Code, to remove restrictions on the careers of female officers in the Army, Navy, Air Force, and Marine Corps, and for other purposes.",90,House,NA,NA,Became Public Law No. 90-130,11,8,1967,https://www.congress.gov/90/statute/STATUTE-81/STATUTE-81-Pg374.pdf,female
"An Act to authorize the Secretary of Labor to set standards to assure safe and healthful working conditions for working men and women; to assist and encourage States to participate in efforts to assure such working conditions; to provide for research, inf",91,Senate,NA,NA,Became Public Law No. 91-596,12,29,1970,https://www.congress.gov/91/statute/STATUTE-84/STATUTE-84-Pg1590.pdf,women
"An Act to authorize educational assistance to wives and children, and home loan benefits to wives, of members of the Armed Forces who are missing in action, captured by a hostile force, or interned by a foreign government of power, and to further amend certain",91,Senate,NA,NA,Became Public Law No. 91-584,12,24,1970,https://www.congress.gov/91/statute/STATUTE-84/STATUTE-84-Pg1575.pdf,wives
"An Act to encourage the development of novel varieties of sexually reproduced plants and to make them available to the public, providing protection available to those who breed, develop, or discover them, and thereby promoting progress in agriculture in t",91,Senate,NA,NA,Became Public Law No. 91-577,12,24,1970,https://www.congress.gov/91/statute/STATUTE-84/STATUTE-84-Pg1542.pdf,sex
"An Act for the Relief of the Sanborn Lumber Company, Incorporated.",91,House,NA,NA,Became Private Law No. 91-102,6,5,1970,https://www.congress.gov/91/statute/STATUTE-84/STATUTE-84-Pg2107.pdf,born
"An Act to amend title 38 of the United States Code to increase the rates of dependency and indemnity compensation payable to widows of veterans, and for other purposes",91,Senate,NA,NA,Became Public Law No. 91-96,10,27,1969,https://www.congress.gov/91/statute/STATUTE-83/STATUTE-83-Pg144.pdf,widows
"Joint resolution authorizing the President of the United States of America to proclaim  September 17, 1969, General von Steuben Memorial Day for the observance and commemoration of the birth of General Friedrich Wilhelm von Steuben",91,House,NA,NA,Became Public Law No. 91-70,9,17,1969,https://www.congress.gov/91/statute/STATUTE-83/STATUTE-83-Pg115-3.pdf,birth
"An Act to amend the Social Security Act to provide increases in benefits, improve computation methods, and raise the earnings base under the OASDI program, to make improvements in the Medicare, Medicaid, and maternal and child health programs with emphasis on improvements in their operating effectiveness, to authorize a family assistance plan providing basic benefits to low-income families with children with incentives for employment and training to improve the capacity for employment of members of such families, to achieve more uniform treatment of recipients under the Federal-State public assistance programs and otherwise improve such programs, and for other purposes",92,House,NA,NA,Became Public Law No. 92-603,10,30,1972,https://www.congress.gov/92/statute/STATUTE-86/STATUTE-86-Pg1329.pdf,maternal
"An Act to extend the Commission on Civil Rights for 5 years, to expand the jurisdiction of the Commission to include discrimination because of sex, to authority appropriations for the Commission, and for other purposes",92,House,NA,NA,Became Public Law No. 92-496,10,14,1972,https://www.congress.gov/92/statute/STATUTE-86/STATUTE-86-Pg813.pdf,sex
"An Act to amend the National School Lunch Act, as amended, to assure that adequate funds are available for the conduct of summer food service programs for children from areas in which poor economic conditions exist and from areas in which there are high concentrations of working mothers, and for other purposes related to expanding and strengthening the child nutrition programs",92,House,NA,NA,Became Public Law No. 92-433,9,26,1972,https://www.congress.gov/92/statute/STATUTE-86/STATUTE-86-Pg724.pdf,mother
"An Act to amend title 98, United States Code, relating to annuities of widows of Supreme Court Justices",92,Senate,NA,NA,Became Public Law No. 92-397,8,22,1972,https://www.congress.gov/92/statute/STATUTE-86/STATUTE-86-Pg579.pdf,widows
"An Act to amend title 5, United States Code, to provide equality of treatment for married women Federal employees with respect to preference eligible employment benefits, cost-of-living allowances in foreign areas, and regulations concerning marital status generally, and for other purposes",92,House,NA,NA,Became Public Law No. 92-187,12,15,1971,https://www.congress.gov/92/statute/STATUTE-85/STATUTE-85-Pg644.pdf,women
"A bill to recognize the 50 years of extraordinary and selfless public service of Herbert Hoover, including his many great humanitarian endeavors, his chairmanship of two Commissions of the Organization of the Executive Branch, and his service as 31st President of the United States, and in commemoration of the 100th anniversary of his birth on August 10, 1974, by providing grants to the Hoover Institution on War, Revolution and Peace.",93,Senate,MARK HATFIELD,R,Public law 93-585.,1,2,1975,https://www.congress.gov/93/statute/STATUTE-88/STATUTE-88-Pg1918.pdf,birth
An Act to amend the act to incorporate Little League Baseball to provide that the league shall be open to girls as well as to boys.,93,House,MARTHA GRIFFITHS,D,Public law 93-551.,12,26,1974,https://www.congress.gov/93/statute/STATUTE-88/STATUTE-88-Pg1744.pdf,girl
"A bill to recognize the 50 years of extraordinary and selfless public service of Herbert Hoover, including his many great humanitarian endeavors, his chairman of two Commissions of the Organization of the Executive Branch, and his service as 31st President of the United States, and in commemoration of the 100th anniversary of his birth on August 10, 1974, by providing grants to the Hoover Institution on War, Revolution, and Peace.",93,House,JOHN DELLENBACK,R,Measure passed House.,12,19,1974,NA,birth
A bill to amend certain provisions of the District of Columbia Code in order to eliminate their sex discriminatory aspects.,93,House,DONALD FRASER,D,Referred to House Committee on District of Columbia.,12,19,1974,NA,sex
"A bill to amend the Education Amendments of 1972 to exempt certain youth organizations, college fraternities, and sororities, and intercollegiate sports from provisions requiring that admissions and benefits be allocated without regard to gender.",93,House,LAWRENCE FOUNTAIN,D,Referred to House Committee on Education and Labor.,12,11,1974,NA,gender
"An Act to amend title 38, United States Code, to increase vocational rehabilitation subsistence allowances, educational and training assistance allowances, and special allowances paid to eligible veterans and persons under chapters 31, 34, and 35 of such title; to improve and expand the special programs for educationally disadvantaged veterans and servicemen under chapter 34 of such title; to improve and expand the veteran student services program; to establish an education loan program for veterans and persons eligible for benefits under chapter 34 or 35 of such title; to make other improvements in the educational assistance program and in the administration of educational benefits; to promote the employment of veterans and the wives and widows of certain veterans by improving and expanding the provisions governing the operation of the Veterans Employment Service, by increasing the employment of veterans by Federal contractors and subcontractors, and by providing for an action plan for the employment of disabled and Vietnam era veterans within the Federal Government; to codify and expand veterans reemployment rights; and for other purposes.",93,House,WILLIAM DORN,D,Public law 93-508.,12,3,1974,https://www.congress.gov/93/statute/STATUTE-88/STATUTE-88-Pg1578.pdf,widows
"An Act to amend title 38, United States Code, to increase vocational rehabilitation subsistence allowances, educational and training assistance allowances, and special allowances paid to eligible veterans and persons under chapters 31, 34, and 35 of such title; to improve and expand the special programs for educationally disadvantaged veterans and servicemen under chapter 34 of such title; to improve and expand the veteran student services program; to establish an education loan program for veterans and persons eligible for benefits under chapter 34 or 35 of such title; to make other improvements in the educational assistance program and in the administration of educational benefits; to promote the employment of veterans and the wives and widows of certain veterans by improving and expanding the provisions governing the operation of the Veterans Employment Service, by increasing the employment of veterans by Federal contractors and subcontractors, and by providing for an action plan for the employment of disabled and Vietnam era veterans within the Federal Government; to codify and expand veterans reemployment rights; and for other purposes.",93,House,WILLIAM DORN,D,Public law 93-508.,12,3,1974,https://www.congress.gov/93/statute/STATUTE-88/STATUTE-88-Pg1578.pdf,wives
A bill to eliminate discrimination based on sex in the youth programs offered by the Naval Sea Cadet Corps.,93,Senate,CHARLES MATHIAS,R,Public law 93-504.,11,29,1974,https://www.congress.gov/93/statute/STATUTE-88/STATUTE-88-Pg1575.pdf,sex
Resolution to commemorate the 100th anniversary of the birth of the Honorable Winston S. Churchill.,93,House,CHARLES VANIK,D,Measure passed House.,11,26,1974,NA,birth
Resolution to commemorate the 100 anniversary of the birth of the Honorable Winston S. Churchill.,93,House,CHARLES VANIK,D,Referred to House Committee on Judiciary.,11,26,1974,NA,birth
A bill to designate the birthday of Susan B. Anthony as a legal public holiday.,93,House,JAMES SYMINGTON,D,Referred to House Committee on Judiciary.,11,25,1974,NA,birth
A bill to amend the Public Health Service Act to establish a program of Federal financial assistance for research programs and specialized treatment centers for the study and treatment of problems respecting human fertility and sterility and the human reproductive process.,93,House,EDWARD KOCH,D,Referred to House Committee on Interstate and Foreign Commerce.,11,25,1974,NA,reproductive
