Urging the President to submit the Convention on the Elimination of All Forms of Discrimination Against Women to the Senate for its advice and consent to ratification.|101|House|GUS YATRON(D) |Referred to the Subcommittee on Human Rights and International Organizations.|1990-10-09|NA
To amend the Federal charter for the Boys' Clubs of America to reflect the change of the name of the organization to the Boys & Girls Clubs of America.|101|House|SUSAN MOLINARI(R) |Referred to the Subcommittee on Administrative Law and Governmental Relations.|1990-10-09|NA
A bill to amend the Federal charter for the Boys' Clubs of America to reflect the change of the name of the organization to the Boys & Girls Clubs of America.|101|Senate|JAMES THURMOND(R) |Referred to the Subcommittee on Administrative Law and Governmental Relations.|1990-10-04|NA
To authorize the conveyance to the Columbia Hospital for Women of certain parcels of land in the District of Columbia, and for other purposes.|101|House|RONALD DELLUMS(D) |Subcommittee Hearings Held.|1990-10-02|NA
To amend title I of the Omnibus Crime Control and Safe Streets Act of 1968 to require as a condition of receiving formula grants that States have in effect a law requiring certain sex offenders to be tested, at the request and for the benefit of the victim, for the presence of the etiologic agent for acquired immune deficiency syndrome.|101|House|LYNN MARTIN(R) |Referred to the Subcommittee on Crime.|1990-10-02|NA
A joint resolution to designate February 7, 1991, as "National Women and Girls in Sports Day".|101|Senate|ROBERT PACKWOOD(R) |Message on Senate action sent to the House.|1990-10-01|NA
Domestic Violence Prevention Act of 1990|101|Senate|DANIEL COATS(R) |Read twice and referred to the Committee on Judiciary.|1990-09-28|NA
A bill to amend title XIX of the Social Security Act to provide that infants born to medicaid eligible women are continuously eligible for benefits under such title for 1 year.|101|Senate|ERNEST HOLLINGS(D) |Read twice and referred to the Committee on Finance.|1990-09-26|NA
Better Health Protection for Mothers and Children Act of 1990|101|Senate|JAY ROCKEFELLER(D) |Read twice and referred to the Committee on Finance.|1990-09-19|NA
Violence Against Women Act of 1990|101|House|BARBARA BOXER(D) |Referred to the Subcommittee on National Parks and Public Lands.|1990-09-07|NA
To promote greater equity in the delivery of health care services to American women through expanded research on women's health issues, improved access to health care services, and the development of disease prevention activities responsive to the needs of women.|101|House|PATRICIA SCHROEDER(D) |Referred to the Subcommittee on Health and the Environment.|1990-09-07|NA
To amend the Child Nutrition Act of 1966 to make revisions in the special supplemental food program of women, infants, and children, and for other purposes.|101|House|BILL GRANT(R) |Referred to the Subcommittee on Elementary, Secondary and Vocational Education.|1990-09-04|NA
Women's Health Care Coverage Expansion Act of 1990|101|House|PATRICIA SCHROEDER(D) |Referred to the Subcommittee on Health and the Environment.|1990-08-03|NA
Women and AIDS Outreach and Prevention Act|101|House|CONSTANCE MORELLA(R) |Referred to the Subcommittee on Health and the Environment.|1990-08-03|NA
Women's Health Equity Act of 1990|101|Senate|BARBARA MIKULSKI(D) |Read twice and referred to the Committee on Labor and Human Resources.|1990-08-02|NA
Designating September 22, 1990, as "American Business Women's Association Day".|101|House|WILLIAM BROOMFIELD(R) |Referred to the House Committee on Post Office and Civil Service.|1990-08-01|NA
Mickey Leland Adolescent Pregnancy Prevention and Parenthood Act of 1990|101|House|NANCY JOHNSON(R) |Referred to the Subcommittee on Health and the Environment.|1990-07-27|NA
Title X Pregnancy Counseling Act of 1990|101|House|JOHN PORTER(R) |Referred to the Subcommittee on Health and the Environment.|1990-07-27|NA
To amend the Internal Revenue Code of 1986 to deny the benefits of certain exceptions to the disallowance of certain entertainment, etc., expenses with respect to facilities that discriminate on the basis of race, color, sex, or religion, and for other purposes.|101|House|CHARLES RANGEL(D) |Referred to the House Committee on Ways and Means.|1990-07-27|NA
Federal Council on Women Act|101|House|BARBARA BOXER(D) |Subcommittee Hearings Held.|1990-07-24|NA
To establish a demonstration program to allow drug-addicted mothers to reside in drug abuse treatment facilities with their children, and to offer such mothers new behavior and education skills which can help prevent substance abuse in subsequent generations.|101|House|MORRIS UDALL(D) |Referred to the Subcommittee on Health and the Environment.|1990-07-16|NA
To amend title 11, District of Columbia Code, to remove gender-specific references.|101|House|WALTER FAUNTROY(D) |Referred to the House Committee on District of Columbia.|1990-07-16|NA
To amend the Child Nutrition Act of 1966 to provide that the Secretary of Agriculture may not consider, in allocating amounts to a State agency under the special supplemental food program for women, infants, and children for the fiscal year 1991, any amounts returned by such agency for reallocation during the fiscal year 1990 and to allow amounts allocated to a State for such program for the fiscal year 1991 to be expended for expenses incurred in the fiscal year 1990.|101|House|TONY HALL(D) |Became Public Law No: 101-330.|1990-07-12|NA
To amend title II of the Social Security Act to reduce from 60 to 55 the age at which an individual who is otherwise eligible may be paid widow's or widower's insurance benefits, to provide benefits for disabled widows and widowers without regard to age, and to repeal rules providing for actuarial reduction of widow's and widower's insurance benefits.|101|House|THOMAS TAUKE(R) |Referred to the Subcommittee on Social Security.|1990-06-25|NA
Unsolicited Sexually Oriented Advertisements Prevention Act|101|House|FRANK MCCLOSKEY(D) |Subcommittee on Postal Personnel and Modernization Discharged.|1990-06-21|NA
Women's Business Procurement Assistance Act of 1989|101|House|JOHN LAFALCE(D) |Committee Hearings Held.|1990-06-14|NA
Sex Discrimination in the United States Code Reform Act of 1990|101|Senate|ROBERT DOLE(R) |Referred to Subcommittee on Constitution.|1990-06-11|NA
To amend the Public Health Service Act to establish, in the program of block grants under part B of title XIX of such Act, a requirement regarding health care for infants with congenital conditions caused by the substance abuse of the mothers of the infants, and for other purposes.|101|House|THOMAS BLILEY(R) |Referred to the Subcommittee on Health and the Environment.|1990-05-29|NA
To amend the Internal Revenue Code of 1986 to provide that tax-exempt bonds may not be used to provide a hospital or other health care facility if the facility performs abortions.|101|House|ROBERT DORNAN(R) |Referred to the House Committee on Ways and Means.|1990-05-24|NA
Birth Control and Infertility Research Centers Act of 1989|101|House|PATRICIA SCHROEDER(D) |For Further Action See H.R.4583.|1990-04-27|NA
Substance Abuse During Pregnancy Act of 1990|101|Senate|PETE WILSON(R) |Read twice and referred to the Committee on Labor and Human Resources.|1990-04-24|NA
A bill to establish a demonstration program to allow drug-addicted mothers to reside in drug abuse treatment facilities with their children, and to offer such mothers new behavior and education skills which can help prevent substance abuse in subsequent generations.|101|Senate|DENNIS DECONCINI(D) |Read twice and referred to the Committee on Labor and Human Resources.|1990-04-24|NA
Adolescent Pregnancy Prevention, Care, and Research Grants Act of 1989|101|Senate|EDWARD KENNEDY(D) |Star Print ordered on Senate Report 101-103.|1990-04-19|NA
Approving the location of the memorial to the women who served in Vietnam.|101|House|SAMUEL GEJDENSON(D) |For Further Action See S.J.Res.207.|1990-04-12|NA
Designating November 11 through November 17, 1990, as "National Women Veterans Recognition Week".|101|House|MICHAEL BILIRAKIS(R) |Referred to the Subcommittee on Census and Population.|1990-04-10|NA
Health Insurance for Children and Mothers Act of 1990|101|House|PETE STARK(D) |Referred to the Subcommittee on Health.|1990-03-21|NA
Women's Business Procurement Assistance Act of 1990|101|Senate|BARBARA MIKULSKI(D) |Read twice and referred to the Committee on Small Business.|1990-03-20|NA
A bill to provide local commodity supplemental feeding programs with the authority to utilize assistance available for women, infants, and children for the benefit of eligible low-income elderly, and for other purposes.|101|Senate|Mitch McConnell(R) |Read twice and referred to the Committee on Agriculture.|1990-03-09|NA
To amend title 39, United States Code, to provide that any person who receives an unsolicited sexually oriented advertisement through the mails may require the sender to disclose the source from which the recipient's name or address was obtained.|101|House|WAYNE OWENS(D) |Unfavorable Executive Comment Received from Postal Service.|1990-03-05|NA
A joint resolution to designate October 11, 1990, as "National Society of the Daughters of the American Revolution Centennial Day".|101|Senate|JESSE HELMS(R) |Read twice and referred to the Committee on Judiciary.|1990-03-01|NA
To designate February 2, 1989, as "National Women and Girls in Sports Day".|101|House|Olympia Snowe(R) |Became Public Law No: 101-241.|1990-02-12|NA
To amend titles 10 and 14, United States Code, to make references to members of the Armed Forces who are eligible to receive a medal of honor gender neutral.|101|House|PAUL HENRY(R) |Favorable Executive Comment Received from DOD.|1990-02-08|NA
A resolution to express the sense of the Senate that the President of the United States be commended for his actions toward Panama and that the American servicemen and women who participated in "Operation Just Cause" merit the gratitude and appreciation of the nation for their service to the cause of peace and freedom.|101|Senate|STEVEN SYMMS(R) |Referred to the Committee on Armed Services.|1990-01-30|NA
A bill to authorize the conveyance to the Columbia Hospital for Women of certain parcels of land in the District of Columbia, and for other purposes.|101|Senate|HENRY HEINZ(R) |Read twice and referred to the Committee on Governmental Affairs.|1990-01-30|NA
To direct the Secretary of the Army to carry out a four-year test program to examine the implications of the removal of limitations on the assignment of female members of the Army to combat and combat-support positions.|101|House|PATRICIA SCHROEDER(D) |Executive Comment Requested from DOD, Army.|1990-01-26|NA
Maternal and Child Health Block Grant Amendments of 1989|101|House|HENRY WAXMAN(D) |Provisions of Measure Incorporated into H.R. 3299.|1989-12-19|NA
A joint resolution approving the location of the Memorial to the Women who served in Vietnam.|101|Senate|JOHN JOHNSTON(D) |Became Public Law No: 101-187.|1989-11-28|NA
Centralized Certification of Socially and Economically Disadvantaged and Women Owned Business Enterprises Act of 1989|101|House|CHARLES HAYES(D) |Referred to the Subcommittee on SBA, the General Economy, and Minority Enterprise Development.|1989-11-22|NA
Authorizing the printing of the book entitled "Women in Congress".|101|House|CORINNE BOGGS(D) |Message on Senate action sent to the House.|1989-11-21|NA
Reproductive Health Equity Act|101|Senate|ALAN CRANSTON(D) |Read twice and referred to the Committee on Finance.|1989-11-20|NA
Nontraditional Employment for Women Act|101|Senate|HOWARD METZENBAUM(D) |Message on Senate action sent to the House.|1989-11-19|NA
Designating November 5-11, 1989, as "National Women Veterans Recognition Week".|101|House|MICHAEL BILIRAKIS(R) |Became Public Law No: 101-153.|1989-11-15|NA
A joint resolution designating November 5-11, 1989, as "National Women Veterans Recognition Week."|101|Senate|ALAN CRANSTON(D) |Read twice and referred to the Committee on Judiciary.|1989-10-31|NA
To recognize the organization known as the National Association of Women Veterans, Incorporated.|101|House|BEN JONES(D) |Referred to the House Committee on Judiciary.|1989-10-17|NA
A joint resolution designating October 28, 1989, as "National Women Veterans of World War II Day".|101|Senate|SAMUEL NUNN(D) |Referred to the Subcommittee on Census and Population.|1989-10-12|NA
A joint resolution designating October 1989 as "National Domestic Violence Awareness Month".|101|Senate|ARLEN SPECTER(R) |Became Public Law No: 101-112.|1989-10-06|NA
A joint resolution to express the sense of the Congress regarding the removal of offensive sexual material from television broadcasting.|101|Senate|JAMES THURMOND(R) |Read twice and referred to the Committee on Commerce.|1989-10-06|NA
To prevent the mailing of unsolicited sexually oriented advertisements, and for other purposes.|101|House|THOMAS RIDGE(R) |Subcommittee Hearings Held.|1989-09-21|NA
A bill to grant a Federal charter to the National Association of Women Veterans, Inc.|101|Senate|JAMES THURMOND(R) |Read twice and referred to the Committee on Judiciary.|1989-09-14|NA
Unborn Children's Civil Rights Act|101|Senate|JESSE HELMS(R) |Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 223.|1989-09-06|NA
Nontraditional Employment for Women Act|101|House|GEORGE MILLER(D) |Referred to the Subcommittee on Employment Opportunities.|1989-08-24|NA
Consolidated Maternal and Child Health Services Act of 1989|101|House|THOMAS BLILEY(R) |Referred to the Subcommittee on Elementary, Secondary and Vocational Education.|1989-08-24|NA
Expressing the sense of the Congress with respect to birth control and infertility.|101|House|PATRICIA SCHROEDER(D) |Referred to the Subcommittee on Health and the Environment.|1989-08-08|NA
A bill to amend the Internal Revenue Code of 1986 to deny status as a tax-exempt organization, and as a charitable contribution recipient, for organizations which perform or provide facilities for abortions.|101|Senate|GORDON HUMPHREY(R) |Read twice and referred to the Committee on Finance.|1989-08-03|NA
Child Abuse During Pregnancy Prevention Act of 1989|101|Senate|PETE WILSON(R) |Read twice and referred to the Committee on Labor and Human Resources.|1989-07-31|NA
A bill to provide for an Assistant Secretary of Veterans Affairs to be responsible for monitoring and promoting the access of members of minority groups, including women, to service and benefits furnished by the Department of Veterans Affairs.|101|Senate|SPARK MATSUNAGA(D) |Committee on Veterans. Provisions of measure incorporated into measure S. 13 ordered to be reported.|1989-07-27|NA
National Institute on Population and Human Reproduction Act|101|House|JIM MOODY(D) |Referred to the Subcommittee on Health and the Environment.|1989-07-21|NA
Women's Business Equity Act|101|House|SILVIO CONTE(R) |Referred to the Subcommittee on SBA, the General Economy, and Minority Enterprise Development.|1989-07-07|NA
To make the performance of an abortion in the District of Columbia a criminal offense.|101|House|ROBERT DORNAN(R) |Referred to the House Committee on District of Columbia.|1989-06-27|NA
Designating October 1989, as "National Domestic Violence Awareness Month".|101|House|LOUISE SLAUGHTER(D) |Referred to the Subcommittee on Census and Population.|1989-06-26|NA
Maternal and Child Health Act of 1989|101|Senate|LLOYD BENTSEN(D) |Read twice and referred to the Committee on Finance.|1989-06-19|NA
Urging the President to refocus foreign assistance, particularly food assistance to Central America, to reintegrate refugees and displaced people into the economic mainstream of Central American nations, and to improve the health, nutrition, and education levels of children, women, and others most in need.|101|House|BYRON DORGAN(D) |Referred to the Subcommittee on International Operations.|1989-06-19|NA
Medicaid Pregnant Women, Infants, and Children Amendments of 1989|101|House|ROBERT MICHEL(R) |Referred to the Subcommittee on Health and the Environment.|1989-05-22|NA
Medicaid Pregnant Women, Infants, and Children Amendments of 1989|101|Senate|ROBERT DOLE(R) |Read twice and referred to the Committee on Finance.|1989-05-03|NA
Women in Development Act of 1989|101|Senate|BARBARA MIKULSKI(D) |Read twice and referred to the Committee on Foreign Relations.|1989-05-01|NA
To amend the Carl D. Perkins Vocational Education Act to clarify the administration of and use of funds under the program for single parents and homemakers and the sex equity program, and for other purposes.|101|House|CLAUDINE SCHNEIDER(R) |Referred to the Subcommittee on Elementary, Secondary and Vocational Education.|1989-04-26|NA
To provide for a study and report concerning sexual harassment of women at the Department of State and the United States Information Agency.|101|House|Olympia Snowe(R) |Referred to the Subcommittee on International Operations.|1989-04-24|NA
Maternal Child Health Improvement Act of 1989|101|House|MICHAEL SYNAR(D) |Referred to the Subcommittee on Health and the Environment.|1989-04-17|NA
To amend title V of the Social Security Act to provide for supplemental resources to enhance the delivery of health services to pregnant women and infants.|101|House|BARBARA KENNELLY(D) |Referred to the Subcommittee on Health and the Environment.|1989-04-17|NA
A resolution congratulating the University of Tennessee Lady Vols and their Coach, Pat Head Summitt, on winning the 1989 NCAA National Women's Basketball Championship.|101|Senate|JAMES SASSER(D) |Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote.|1989-04-04|NA
Concerning United States policy toward the one-child-per-family program and forced abortion policies of the People's Republic of China.|101|House|CHRISTOPHER SMITH(R) |Referred to the Subcommittee on Asian and Pacific Affairs.|1989-04-03|NA
To provide a military survivor annuity for widows of certain retirement-eligible reserve members of the uniformed services who died during the period between the establishment of the military Survivor Benefit Plan and the creation of the reserve-component annuity under that Plan.|101|House|JOHN DUNCAN(R) |Referred to the Subcommittee on Military Personnel and Compensation.|1989-03-28|NA
Proposing an amendment to the Constitution of the United States to protect unborn children and other persons.|101|House|MARTIN RUSSO(D) |Referred to the Subcommittee on Civil and Constitutional Rights.|1989-03-27|NA
Proposing an amendment to the Constitution of the United States relative to equal rights for men and women.|101|House|DON EDWARDS(D) |Referred to the Subcommittee on Civil and Constitutional Rights.|1989-03-27|NA
Reproductive Health Equity Act|101|House|S. GREEN(R) |Referred to the Subcommittee on Civil and Constitutional Rights.|1989-03-27|NA
To amend title 18, United States Code, to prohibit the performance of abortions with respect to the Federal penal and correctional institutions.|101|House|ROBERT DORNAN(R) |Referred to the Subcommittee on Civil and Constitutional Rights.|1989-03-27|NA
Anti-Surrogate-Mother Act of 1989|101|House|ROBERT DORNAN(R) |Referred to the Subcommittee on Criminal Justice.|1989-03-27|NA
Designating March 1989 as "Women's History Month".|101|House|NANCY PELOSI(D) |Became Public Law No: 101-6.|1989-03-24|NA
To authorize the conveyance to the Columbia Hospital for Women of certain parcels of land in the District of Columbia, and for other purposes.|101|House|RONALD DELLUMS(D) |Committee Consideration and Mark-up Session Held.|1989-03-23|NA
To authorize the conveyance to the Columbia Hospital for Women of certain parcels of land in the District of Columbia, and for other purposes.|101|House|RONALD DELLUMS(D) |Referred to the Subcommittee on Government Activities and Transportation.|1989-03-21|NA
Adolescent Pregnancy and Parenthood Act of 1989|101|House|GEORGE LELAND(D) |Referred to the Subcommittee on Health and the Environment.|1989-03-13|NA
A joint resolution to designate February 2, 1989, as "National Women and Girls in Sports Day".|101|Senate|ROBERT PACKWOOD(R) |Referred to the Subcommittee on Census and Population.|1989-03-09|NA
A bill to provide criminal penalties for the mailing of unsolicited sexually oriented advertisements, and for other purposes.|101|Senate|JAMES THURMOND(R) |Read twice and referred to the Committee on Judiciary.|1989-03-08|NA
To authorize the conveyance to the Columbia Hospital for Women of certain parcels of land in the District of Columbia, and for other purposes.|101|House|RONALD DELLUMS(D) |Referred to the Subcommittee on Government Activities and Transportation.|1989-03-06|NA
Forgotten Widows and Survivor Benefits Improvements Act of 1989|101|House|DUNCAN HUNTER(R) |Referred to the Subcommittee on Military Personnel and Compensation.|1989-03-03|NA
A bill to designate the month of March 1989, as "Women's History Month".|101|Senate|ORRIN HATCH(R) |Read twice and referred to the Committee on Judiciary.|1989-03-02|NA
A bill to amend title XIX of the Social Security Act to provide coverage for certain outreach activities undertaken at the option of a State for the purpose of identifying pregnant women and children who are eligible for medical assistance and assisting them in applying for and receiving such assistance, and for other purposes.|101|Senate|THOMAS DASCHLE(D) |Read twice and referred to the Committee on Finance.|1989-02-22|NA
Forgotten Widows and Survivor Benefits Improvements Act of 1989|101|Senate|JAMES THURMOND(R) |Read twice and referred to the Committee on Armed Services.|1989-02-22|NA
To provide for the designation of September 1, 1989, as "Working Mothers' Day".|101|House|CARDISS COLLINS(D) |Referred to the Subcommittee on Census and Population.|1989-02-14|NA
A bill to amend the Public Health Service Act to establish an Office of the Associate Director for Special Populations to place emphasis on needs of women and minorities for the prevention and treatment of alcoholism and alcohol abuse and related problems.|101|Senate|DANIEL INOUYE(D) |Committee on Labor and Human Resources requested executive comment from Department of Health and Human Services.|1989-02-14|NA
Women in Development Act of 1989|101|House|GEORGE LELAND(D) |Referred to the House Committee on Foreign Affairs.|1989-02-09|NA
To prohibit the use of Federal funds for abortions except where the life of the mother would be endangered.|101|House|BILL EMERSON(R) |Referred to the Subcommittee on Health and the Environment.|1989-02-06|NA
To provide that no person who counsels anyone in the use of an unapproved drug or device for an abortion may receive any form of Federal financial assistance or payments under Medicare or Medicaid.|101|House|ROBERT DORNAN(R) |Referred to the Subcommittee on Health and the Environment.|1989-02-06|NA
A joint resolution proposing an amendment to the Constitution of the United States relative to equal rights for women and men.|101|Senate|EDWARD KENNEDY(D) |Referred to Subcommittee on Constitution.|1989-01-31|NA
A joint resolution proposing an amendment to the Constitution of the United States for the protection of unborn children and other purposes.|101|Senate|EDWIN GARN(R) |Referred to Subcommittee on Constitution.|1989-01-31|NA
Unborn Children's Civil Rights Act|101|Senate|JESSE HELMS(R) |Read twice and referred to the Committee on Governmental Affairs.|1989-01-25|NA
A bill to amend the Internal Revenue Code of 1986 to disallow a personal exemption for a child born alive after an induced abortion.|101|Senate|JESSE HELMS(R) |Read twice and referred to the Committee on Finance.|1989-01-25|NA
A bill to amend chapter 89 of title 5, United States Code, to provide authority for the direct payment or reimbursement to nurse midwives and nurse practitioners, to clarify certain provisions of such chapter with respect to coordination with State and local law, and for other purposes.|101|Senate|DANIEL INOUYE(D) |Read twice and referred to the Committee on Governmental Affairs.|1989-01-25|NA
To amend title II of the Social Security Act to restore and protect the benefit levels of workers reaching age 65 in or after 1982 (and their widows and widowers) by eliminating the "notch" between those levels and the corresponding benefit levels of persons who reached age 65 before 1982.|101|House|ROBERT ROE(D) |Referred to the Subcommittee on Social Security.|1989-01-12|NA
To amend title II of the Social Security Act to improve the treatment of women through the establishment and payment of working spouse's benefits.|101|House|NORMAN LENT(R) |Referred to the Subcommittee on Social Security.|1989-01-12|NA
To amend title II of the Social Security Act to provide full benefits for disabled widows and widowers without regard to age (and without regard to any previous reductions in their benefits).|101|House|MARY OAKAR(D) |Referred to the Subcommittee on Social Security.|1989-01-11|NA
